line_number,source_type,year,customs_region,partner,partner_orthographic,export_import,product,product_orthographic,value,quantity,quantity_unit,quantity_unit_orthographic,value_per_unit,yearstr,customs_region_source,customs_office,origin_source,width_in_line,value_part_of_bundle,filepath,source,sheet,value_total,value_sub_total_1,value_sub_total_2,value_sub_total_3,data_collector,unverified,remarks,value_minus_un_source,absurd_observation,duty_quantity,duty_quantity_unit,duty_by_unit,duty_total,duty_part_of_bundle,duty_remarks,customs_region_grouping,customs_region_province,customs_region_hinterland,origin,origin_province,partner_simplification,partner_grouping,partner_obrien,partner_sourcename,partner_wars,partner_africa,nb_occurence_BdCFR,product_simplification,product_sitc,imprimatur,product_edentreaty,surement_pas_canada,product_canada,details_provenance,peche,product_medicinales,nbr_obs,product_hamburg,product_grains,product_coton,product_ulrich,product_coffee,product_porcelaine,product_v_glass_beads,product_revolutionempire,product_beaver,product_type_textile,product_luxe_dans_type,product_luxe_dans_SITC,product_sitc_FR,product_sitc_EN,product_sitc_simplEN,obsolete,product_RE_aggregate,product_threesectors,product_threesectorsM,product_reexportations,quantity_unit_simplification,conv_orthographic_to_simplificat,quantity_unit_metric,conv_simplification_to_metric,needs_more_details,quantities_metric,unit_price_metric,best_guess_national_prodxpart,best_guess_national_partner,best_guess_national_product,best_guess_region_prodxpart,best_guess_national_region,computed_value,value_as_reported,computed_value_per_unit,computed_quantity,value_minus_unit_val_x_qty,product_viz,partner_viz
10,National toutes directions partenaires manquants,1789,La Rochelle,Petites iles,Petites Îles,Imports,Vinaigre,vinaigre,588,21,muids,muids,28,1789,La Rochelle,Les Sables d'Olonne,,,,sources/National toutes directions partenaires manquants/AN_F12_1667_La_Rochelle_Imports_1789.csv,AN F12 1667,2,,,,,Ahmed,,,0,,,,,,,,La Rochelle,Aunis,Aunis,,,Petites Îles,France,Petites Îles,France,Îles,Not Outre-mers,2206,vinaigre,0a,x,Vinaigre de France,1,Pas importé en France depuis l'Amérique avant 1763,,0,not a medical product,1641,Vinaigre,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,"Bière, cidre et vinaigre",No link with beaver,,,,Autres produits alimentaires et animaux,Other foodstuff and live animals,Other foodstuffs and live animals,non,Subsistances,Agriculture,Produits agricoles,Pas réexportation,muids,1,litres,268.21439,1,5632.502,.1043941,0,0,0,1,1,0,588,0,0,0,autres produits,Ports francs et petites îles
11,National toutes directions partenaires manquants,1789,La Rochelle,Petites iles,Petites Îles,Imports,Bois de sapin en planches,bois de sapin en planches,37887.898,32946,pièces,pièces,1.15,1789,La Rochelle,Aligre,,,,sources/National toutes directions partenaires manquants/AN_F12_1667_La_Rochelle_Imports_1789.csv,AN F12 1667,4,,,,,Ahmed,,,3294.1001,,,,,,,,La Rochelle,Aunis,Aunis,,,Petites Îles,France,Petites Îles,France,Îles,Not Outre-mers,97,planches de sapin,6b,x,,0,Exclusivement Canada,,0,not a medical product,1682,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,"Ouvrages de bois, liège et jonc",No link with beaver,,,,"Produits du bois, liège, jonc","Wood, cork and cane products","Leather, wood and paper products",non,Industrie française et étrangère,Manufactures,Produits manufacturés,Pas réexportation,pièces,1,nombre,1,0,32946,1.15,0,0,0,1,1,1,41182,0,0,3294.1008,autres produits,Ports francs et petites îles
12,National toutes directions partenaires manquants,1789,La Rochelle,Angleterre,Angleterre,Imports,Charbon de terre,charbon de terre,5950,1400,barils,barils,4.25,1789,La Rochelle,Aligre,,,,sources/National toutes directions partenaires manquants/AN_F12_1667_La_Rochelle_Imports_1789.csv,AN F12 1667,4,,,,,Ahmed,,,,,,,,,,,La Rochelle,Aunis,Aunis,,,Angleterre,Angleterre,Angleterre,Angleterre,Angleterre et ses colonies,Not Outre-mers,836,charbon de terre,3,x,,0,Hors Canada,,0,not a medical product,1234,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Combustibles dont charbons et bois,No link with beaver,,,,Combustibles,Fuels,Other,non,Matières premières,Non-agricultural primary goods,Produits primaires,Pas réexportation,barils,1,,,1,,,0,0,0,1,1,0,5950,1,0,0,autres produits,Grande Bretagne
13,National toutes directions partenaires manquants,1789,La Rochelle,Marseille,Marseille,Imports,Coton,coton,810,540,pintes,pintes,1.5,1789,La Rochelle,Aligre,,,,sources/National toutes directions partenaires manquants/AN_F12_1667_La_Rochelle_Imports_1789.csv,AN F12 1667,4,,,,,Ahmed,,,4,,,,,,,,La Rochelle,Aunis,Aunis,,,Marseille,France,Marseille,France,France,Not Outre-mers,517,coton,2,x,Coton de toute espèce,0,Hors Canada,,0,not a medical product,587,Coton,Pas grain (0),raw cotton,raw cotton,Not coffee,Sans lien avec la porcelaine,out,Coton non transformé,No link with beaver,,,,Matières brutes non-comestibles non transformées n.d.a.,"Raw materials, inedible, except fuels","Crude materials, inedible, except combustibles",non,Matières premières,Non-agricultural primary goods,Produits primaires,Réexportation,pinte,1,litres,.95214599,0,514.15881,1.5753887,0,0,0,1,1,1,814,0,0,4,"produit colonial ('Café', 'Sucre', 'Indigo', 'Coton non transformé')",Ports francs et petites îles
14,National toutes directions partenaires manquants,1789,La Rochelle,Petites iles,Petites Îles,Imports,Cuirs de beuf,cuirs de bœuf,732,61,pièces,pièces,12,1789,La Rochelle,Aligre,,,,sources/National toutes directions partenaires manquants/AN_F12_1667_La_Rochelle_Imports_1789.csv,AN F12 1667,4,,,,,Ahmed,,,-10,,,,,,,,La Rochelle,Aunis,Aunis,,,Petites Îles,France,Petites Îles,France,Îles,Not Outre-mers,2,cuirs de bœuf,6a,x,,0,Hors Canada,,0,not a medical product,22,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,"Cuirs, peaux et pelleterie",No link with beaver,,,,"Cuirs, peaux et produits dérivés hors sellerie",Leather products except saddlery,"Leather, wood and paper products",non,Industrie française et étrangère,Manufactures,Produits manufacturés,Peut-être réexportation,pièces,1,nombre,1,0,61,12,0,0,0,1,1,1,722,0,0,-10,autres produits,Ports francs et petites îles
14,National toutes directions partenaires manquants,1789,La Rochelle,Iles Françaises de l'Amérique,Îles françaises de l'Amérique,Imports,Caffé,café,3588719,3417828,livres,livres,1.0499998,1789,La Rochelle,La Rochelle,,,0,sources/National toutes directions partenaires manquants/ANOM_Col_F_2B_14_Colonies_Imports_1789.csv,ANOM Col F 2B 14,2,97358976,,,,Guillaume Daudin,,,,,,,,,,,La Rochelle,Aunis,Aunis,,,Îles françaises de l'Amérique,Amériques,Îles françaises de l'Amérique,Colonies,Îles,Other outre-mers,962,café,0b,x,,0,Hors Canada,,0,not a medical product,1355,Café,Pas grain (0),not raw cotton,coffee,coffee,Sans lien avec la porcelaine,out,Café,No link with beaver,,,,Produits agricoles alimentaires des régions de colonisation européenne,Plantation foodstuff,Plantation foodstuffs,non,Subsistances,Agriculture,Produits agricoles,Réexportation,livres,1,kg,.48949999,0,1673026.8,,0,0,0,1,1,0,3588719,1,0,.17041159,"produit colonial ('Café', 'Sucre', 'Indigo', 'Coton non transformé')","Colonies (Saint-Domingue, Indes, îles fr de l'Amérique)"
15,National toutes directions partenaires manquants,1789,La Rochelle,Petites iles,Petites Îles,Imports,Eau de vie simple,eau-de-vie simple,1233.75,329,veltes,veltes,3.75,1789,La Rochelle,Aligre,,,,sources/National toutes directions partenaires manquants/AN_F12_1667_La_Rochelle_Imports_1789.csv,AN F12 1667,4,,,,,Ahmed,,9 muids et 40 pintes,.25,,,,,,,,La Rochelle,Aunis,Aunis,,,Petites Îles,France,Petites Îles,France,Îles,Not Outre-mers,202,eau-de-vie simple,1,,Eau de vie de France,1,Pas importé en France depuis l'Amérique avant 1763,,0,not a medical product,270,Eau ; de vie,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Eaux-de-vie et liqueurs,No link with beaver,,,,Boissons et tabac,Beverages and tobacco,Drinks and tobacco,non,Subsistances,Agriculture,Produits agricoles,Pas réexportation,veltes,1,litres,7.4299998,0,2444.47,.50471061,0,0,0,1,1,1,1234,0,0,.25,eau-de-vie et vins divers,Ports francs et petites îles
15,National toutes directions partenaires manquants,1789,La Rochelle,Iles Françaises de l'Amérique,Îles françaises de l'Amérique,Imports,Caffé,café,139482,132841,livres,livres,1.0499921,1789,La Rochelle,Rochefort,,,0,sources/National toutes directions partenaires manquants/ANOM_Col_F_2B_14_Colonies_Imports_1789.csv,ANOM Col F 2B 14,2,97358976,,,,Guillaume Daudin,,,,,,,,,,,La Rochelle,Aunis,Aunis,,,Îles françaises de l'Amérique,Amériques,Îles françaises de l'Amérique,Colonies,Îles,Other outre-mers,962,café,0b,x,,0,Hors Canada,,0,not a medical product,1355,Café,Pas grain (0),not raw cotton,coffee,coffee,Sans lien avec la porcelaine,out,Café,No link with beaver,,,,Produits agricoles alimentaires des régions de colonisation européenne,Plantation foodstuff,Plantation foodstuffs,non,Subsistances,Agriculture,Produits agricoles,Réexportation,livres,1,kg,.48949999,0,65025.668,,0,0,0,1,1,0,139482,1,0,.0015025139,"produit colonial ('Café', 'Sucre', 'Indigo', 'Coton non transformé')","Colonies (Saint-Domingue, Indes, îles fr de l'Amérique)"
16,National toutes directions partenaires manquants,1789,La Rochelle,Marseille,Marseille,Imports,Eponges,éponges,435.60001,198,livres,livres,2.2,1789,La Rochelle,Aligre,,,,sources/National toutes directions partenaires manquants/AN_F12_1667_La_Rochelle_Imports_1789.csv,AN F12 1667,4,,,,,Ahmed,,arrondi,.40000001,,,,,,,,La Rochelle,Aunis,Aunis,,,Marseille,France,Marseille,France,France,Not Outre-mers,556,éponges,2,x,,1,Pas importé en France depuis l'Amérique avant 1763,,0,not a medical product,538,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Matières premières diverses,No link with beaver,,,,Matières brutes non-comestibles non transformées n.d.a.,"Raw materials, inedible, except fuels","Crude materials, inedible, except combustibles",non,Matières premières,Non-agricultural primary goods,Produits primaires,Peut-être réexportation,livres,1,kg,.48949999,0,96.920998,4.4943824,0,0,0,1,1,1,436,0,0,.39999056,autres produits,Ports francs et petites îles
17,National toutes directions partenaires manquants,1789,La Rochelle,Marseille,Marseille,Imports,Etoffes de laine diverses,étoffe de laine diverse,306,,,unité manquante,,1789,La Rochelle,Aligre,,,,sources/National toutes directions partenaires manquants/AN_F12_1667_La_Rochelle_Imports_1789.csv,AN F12 1667,4,,,,,Ahmed,,marchandises en estimation,,,,,,,,,La Rochelle,Aunis,Aunis,,,Marseille,France,Marseille,France,France,Not Outre-mers,19,étoffe de laine,6e,x,Lainage,1,Pas importé en France depuis l'Amérique avant 1763,,0,not a medical product,2,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Étoffes de laine,No link with beaver,tissés,bas de gamme,bas de gamme,Filés ou tissés de laine et de poil,Wool threads and fabrics,Wool threads and fabrics,non,Objets manufacturés,Manufactures,Produits manufacturés,Pas réexportation,unité manquante,,unité manquante,,,,,0,0,0,1,1,0,306,0,0,,autres produits,Ports francs et petites îles
18,National toutes directions partenaires manquants,1789,La Rochelle,Hollande,Hollande,Imports,Fromages,fromage,612.60004,1021,livres,livres,.60000002,1789,La Rochelle,Aligre,,,,sources/National toutes directions partenaires manquants/AN_F12_1667_La_Rochelle_Imports_1789.csv,AN F12 1667,4,,,,,Ahmed,,arrondi,.40000001,,,,,,,,La Rochelle,Aunis,Aunis,,,Hollande,Hollande,Hollande,Hollande,Hollande et ses colonies,Not Outre-mers,390,fromage,0a,x,,1,Pas importé en France depuis l'Amérique avant 1763,,0,not a medical product,1906,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Fromage,No link with beaver,,,,Autres produits alimentaires et animaux,Other foodstuff and live animals,Other foodstuffs and live animals,non,Subsistances,Agriculture,Produits agricoles,Pas réexportation,livres,1,kg,.48949999,0,499.77948,1.2257407,0,0,0,1,1,1,613,0,0,.39997566,autres produits,Europe
19,National toutes directions partenaires manquants,1789,La Rochelle,Lorient,Lorient,Imports,Futailles,futailles,400,107,pièces,pièces,3.7383177,1789,La Rochelle,Aligre,,,,sources/National toutes directions partenaires manquants/AN_F12_1667_La_Rochelle_Imports_1789.csv,AN F12 1667,4,,,,,Ahmed,,marchandises en estimation,,,,,,,,,La Rochelle,Aunis,Aunis,,,Lorient,France,Lorient,France,France,Not Outre-mers,279,futailles,6b,x,,0,Peut-être Canada,,0,not a medical product,289,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,"Ouvrages de bois, liège et jonc",No link with beaver,,,,"Produits du bois, liège, jonc","Wood, cork and cane products","Leather, wood and paper products",non,Industrie française et étrangère,Manufactures,Produits manufacturés,Pas réexportation,pièces,1,nombre,1,0,107,,0,0,0,1,1,0,400,1,0,3.0994415e-06,autres produits,Ports francs et petites îles
20,National toutes directions partenaires manquants,1789,La Rochelle,Marseille,Marseille,Imports,Fruits verts oranges,fruits verts orange,675,13500,pièces,pièces,.050000001,1789,La Rochelle,Aligre,,,,sources/National toutes directions partenaires manquants/AN_F12_1667_La_Rochelle_Imports_1789.csv,AN F12 1667,4,,,,,Ahmed,,,0,,,,,,,,La Rochelle,Aunis,Aunis,,,Marseille,France,Marseille,France,France,Not Outre-mers,1,orange fraîche,0a,x,,1,Pas importé en France depuis l'Amérique avant 1763,,0,not a medical product,14,"Fruits ; divers ; amandes, pelures, raisins, prunes",Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Fruits frais,No link with beaver,,,,Autres produits alimentaires et animaux,Other foodstuff and live animals,Other foodstuffs and live animals,non,Subsistances,Agriculture,Produits agricoles,Pas réexportation,pièces,1,nombre,1,0,13500,.050000001,0,0,0,1,1,0,675,0,0,-.000010058284,autres produits,Ports francs et petites îles
21,National toutes directions partenaires manquants,1789,La Rochelle,Marseille,Marseille,Imports,Gomme arabique,gomme arabique,124,62,livres,livres,2,1789,La Rochelle,Aligre,,,,sources/National toutes directions partenaires manquants/AN_F12_1667_La_Rochelle_Imports_1789.csv,AN F12 1667,4,,,,,Ahmed,,,0,,,,,,,,La Rochelle,Aunis,Aunis,,,Marseille,France,Marseille,France,France,Not Outre-mers,247,gomme arabique,2,x,,0,Hors Canada,,0,not a medical product,506,Gomme,Pas grain (0),not raw cotton,gum,Not coffee,Sans lien avec la porcelaine,out,Gommes diverses,No link with beaver,,,,Matières brutes non-comestibles non transformées n.d.a.,"Raw materials, inedible, except fuels","Crude materials, inedible, except combustibles",non,Drogues,Non-agricultural primary goods,Produits primaires,Peut-être réexportation,livres,1,kg,.48949999,0,30.348999,4.0858021,0,0,0,1,1,0,124,0,0,0,autres produits,Ports francs et petites îles
22,National toutes directions partenaires manquants,1789,La Rochelle,Petites iles,Petites Îles,Imports,Grains comestibles bled,grains comestibles blé,13500.001,90000,livres,livres,.15000001,1789,La Rochelle,Aligre,,,,sources/National toutes directions partenaires manquants/AN_F12_1667_La_Rochelle_Imports_1789.csv,AN F12 1667,4,,,,,Ahmed,,en quintal,0,,,,,,,,La Rochelle,Aunis,Aunis,,,Petites Îles,France,Petites Îles,France,Îles,Not Outre-mers,2,grains froment,0a,x,,0,Hors Canada,,0,not a medical product,1492,,Froment (1),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Blé et autres grains comestibles,No link with beaver,,,,Autres produits alimentaires et animaux,Other foodstuff and live animals,Other foodstuffs and live animals,non,Subsistances,Agriculture,Produits agricoles,Pas réexportation,livres,1,kg,.48949999,0,44055,.30643517,0,0,0,1,1,1,13500,0,0,-.0005364418,autres produits,Ports francs et petites îles
23,National toutes directions partenaires manquants,1789,La Rochelle,Petites iles,Petites Îles,Imports,Huile de poisson,huile de poisson,251.10001,837,livres,livres,.30000001,1789,La Rochelle,Aligre,,,,sources/National toutes directions partenaires manquants/AN_F12_1667_La_Rochelle_Imports_1789.csv,AN F12 1667,4,,,,,Ahmed,,en quintal,-.1,,,,,,,,La Rochelle,Aunis,Aunis,,,Petites Îles,France,Petites Îles,France,Îles,Not Outre-mers,623,huile de poisson,4,x,,0,Pêche d'Amérique avant 1763,,1,not a medical product,1470,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Huile de poisson,No link with beaver,,,,"Huiles, graisses et cires d'origine animale et végétale",Oils,Oils,non,Matières premières,Agriculture,Produits agricoles,Pas réexportation,livres,1,kg,.48949999,0,409.71149,.61287034,0,0,0,1,1,1,251,0,0,-.10000998,autres produits,Ports francs et petites îles
