"region_depart","province_depart","etat_depart","sousetat_depart","amiraute_depart","port_depart","outdate_fixed","port_destination","partner_balance_1789","partner_balance_supp_1789","pointcall_province","substate_destination","state_destination","ship_id","ship_name","captain_name","homeport_state_1789_fr","homeport_substate_1789_fr","homeport_toponyme_fr","homeport_province","commodity_standardized_fr","commodity_standardized2_fr","commodity_standardized3_fr","commodity_standardized4_fr","taxe_amount01","taxe_amount02","taxe_amount03","tonnage","tonnage_unit","tonnage_class","ship_flag_standardized_fr"
Bretagne,Bretagne,France,,Saint-Malo,Saint-Malo,1787-09-28,Alicante,Espagne,Etranger,,,Espagne,"0008419N",Reine des Anges,"Le Dépencier, Jullien",France,,Saint-Malo,Bretagne,Feuillard,,,,540,1 800,0,"95",tx,[51-100],français
Picardie,Picardie,France,,Boulogne,Boulogne-sur-Mer,1787-02-20,Angleterre,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0001973N",Fortune,Bakest,,,,,,,,,450,135,0,"2",tx,[1-20],britannique
Normandie,Normandie,France,,Le Havre,Le Havre,1787-06-12,Alicante,Espagne,Etranger,,,Espagne,"0012624N",Concorde,"Kroger, Owen",,,,,,,,,549,1 830,0,"274",tx,[201-500],
Normandie,Normandie,France,,Le Havre,Le Havre,1787-07-14,Ostende,Etats de l'Empereur,Etranger,,Pays-Bas autrichiens,Autriche,"0000452N",Poste d' Allemagne,"Dobbelaar, Johames",Autriche,Pays-Bas autrichiens,Ostende,,,,,,390,117,0,"40",tx,[21-50],Pays-Bas autrichien
Guyenne,Guyenne,France,,Bordeaux,Bordeaux,1787-11-06,Cork,Angleterre,Etranger,,Irlande,Grande-Bretagne,"0013798N",Marie,"White, John",Grande-Bretagne,Irlande,Cork,,Vin,Eau-de-vie,,,600,4 800,1 200,"80",tx,[51-100],britannique
Aunis-Saintonge-Poitou,Aunis,France,,La Rochelle,Ars-en-Ré,1787-08-06,Norvège,Danemark,Etranger,,Norvège,Danemark,"0010828N",Catherine Marguerite,"Mandsey, Cristophe",Danemark,Norvège,Bergue ,,Sel,,,,480,0,0,"130",tx,[101-200],danois
Guyenne,Guyenne,France,,Bordeaux,Bordeaux,1787-07-07,Brême,Quatre villes hanséatiques,Etranger,,,Brême,"0007739N",Dauphin,"Konig, Andreas",Brême,,Brême,,Vin,Café,,,3 165,2 250,5 421,"211",tx,[201-500],brémois
Guyenne,Guyenne,France,,Bordeaux,Bordeaux,1787-02-13,Hambourg,Quatre villes hanséatiques,Etranger,,,Hambourg,"0002508N",Francisca,"Groffman, Johan",Hambourg,,Hambourg,,Café,Vin,Sucre,,3 000,4 680,600,"200",tx,[101-200],hambourgeois
Picardie,Picardie,France,,Boulogne,Boulogne-sur-Mer,1787-04-27,Angleterre,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0000548N",Speedwell,Pope,Grande-Bretagne,Angleterre,Douvres,,,,,,450,135,0,"2",tx,[1-20],britannique
Aunis-Saintonge-Poitou,Aunis,France,,La Rochelle,Ars-en-Ré,1787-08-03,Bergue ,Danemark,Etranger,,Norvège,Danemark,"0008020N",Fortune,"Delange, Mathieu",Danemark,Norvège,Bergue ,,Sel,,,,480,0,0,"72",tx,[51-100],danois
Flandre,Flandre,France,,Dunkerque,Dunkerque,1787-05-21,Angleterre (destination simulée pour),Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0001516N",Lively,"Getting, Thomas",Grande-Bretagne,Angleterre,Folkestone,,,,,,135,450,0,"12",tx,[1-20],britannique
Flandre,Flandre,France,,Dunkerque,Dunkerque,1787-09-20,Angleterre (destination simulée pour),Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0000116N",Speedwell,"Blyth, John",Grande-Bretagne,Angleterre,Faversham,,,,,,450,135,0,"12",tx,[1-20],britannique
Picardie,Picardie,France,,Boulogne,Boulogne-sur-Mer,1787-11-01,Angleterre,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0007200N",Succes,Russel,,,,,,,,,450,135,0,"2",tx,[1-20],britannique
Picardie,Picardie,France,,Boulogne,Boulogne-sur-Mer,1787-01-17,Angleterre,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0001635N",William & Mary,Russell,,,,,,,,,450,135,0,"2",tx,[1-20],britannique
Guyenne,Guyenne,France,,Bordeaux,Bordeaux,1787-04-25,Trondheim,Danemark,Etranger,,Norvège,Danemark,"0009815N",Mercure,"Jacobs, Pieter",Danemark,Norvège,Trondheim,,Eau-de-vie,Vin,,,1 050,4 200,2 250,"70",tx,[51-100],danois
Picardie,Picardie,France,,Boulogne,Boulogne-sur-Mer,1787-12-27,Angleterre,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0003792N",Peggy,Feast,Grande-Bretagne,Angleterre,Folkestone,,,,,,450,135,0,"12",tx,[1-20],britannique
Guyenne,Guyenne,France,,Bordeaux,Bordeaux,1787-01-22,Îles Féroé,Danemark,Etranger,,,Danemark,"0002636N",Commerce,"Burcke, Jean",Grande-Bretagne,Irlande,Cork,,Diverses marchandises,Eau-de-vie,,,2 250,3 000,750,"50",tx,[21-50],britannique
Picardie,Picardie,France,,Boulogne,Boulogne-sur-Mer,1787-07-04,Angleterre,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0003792N",Peggy,Feast,Grande-Bretagne,Angleterre,Folkestone,,,,,,450,135,0,"12",tx,[1-20],britannique
Flandre,Flandre,France,,Dunkerque,Dunkerque,1787-07-27,Angleterre (destination simulée pour),Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0002853N",Meme,"Clayson, Edward",Grande-Bretagne,Angleterre,Deal,,,,,,135,450,0,"12",tx,[1-20],britannique
Bretagne,Bretagne,France,,Lorient,Lorient,1787-05-01,Newcastle,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0012773N",Bee,"Coxon, William",Grande-Bretagne,Angleterre,Newcastle,,Lest,,,,1 044,0,0,"115",tx,[101-200],britannique
Bretagne,Bretagne,France,,Brest,Roscoff,1787-06-19,Coverack,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0009607N",Hapy Return The,"James, Thomas",Grande-Bretagne,Angleterre,Coverack,,Eau-de-vie,Diverses marchandises,,,480,72,0,"3",tx,[1-20],britannique
Normandie,Normandie,France,,Dieppe,Dieppe,1787-10-29,Brighton,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0000459N",Princesse Royale,"Smith, John",,,,,,,,,390,117,0,"40",tx,[21-50],britannique
Normandie,Normandie,France,,Rouen,Rouen,1787-08-20,Londres,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0009776N",Deux Amis,"Ramsay, Georges",,,,,,,,,3 300,993,117,"92",tx,[51-100],britannique
Guyenne,Guyenne,France,,Bordeaux,Bordeaux,1787-01-11,Newcastle,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0012932N",Nicolas et Anne,"Crauwford, Antoine",Grande-Bretagne,Angleterre,Newcastle,,Lest,,,,4 905,3 150,12 600,"210",tx,[201-500],britannique
Picardie,Picardie,France,,Boulogne,Boulogne-sur-Mer,1787-05-05,Angleterre,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0007200N",Succes,Taylor,,,,,,,,,450,135,0,"2",tx,[1-20],britannique
Picardie,Picardie,France,,Calais,Calais,1787-09-22,Douvres,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0001539N",Princesse,"Ratcliff, Thomas",Grande-Bretagne,Angleterre,Douvres,,,,,,2 400,135,720,"32",tx,[21-50],britannique
Normandie,Normandie,France,,Cherbourg,Cherbourg,1787-07-30,Scarborough,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0007199N",Heureux Accroissement,"Longbottom, André",,,,,Lest,,,,117,390,0,"190",tx,[101-200],britannique
Normandie,Normandie,France,,Dieppe,Dieppe,1787-09-29,Brighton,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0000444N",Speedwell,"Lynd, Charles",,,,,,,,,390,117,0,"12",tx,[1-20],britannique
Flandre,Flandre,France,,Dunkerque,Dunkerque,1787-10-10,Angleterre (destination simulée pour),Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0000715N",Betzy,"Brookes, Thomas",,,,,,,,,135,450,0,"12",tx,[1-20],britannique
Guyenne,Guyenne,France,,Bordeaux,Bordeaux,1787-02-05,Hambourg,Quatre villes hanséatiques,Etranger,,,Hambourg,"0021534N",Union,"Busch, Martin Nicolas",Hambourg,,Hambourg,,Sucre,Café,Vin,,3 300,13 200,5 130,"220",tx,[201-500],hambourgeois
Normandie,Normandie,France,,Fécamp,Fécamp,1787-02-05,Arendal,Danemark,Etranger,,Norvège,Danemark,"0001322N",Valentin,"Wube, Samuel",,,,,,,,,117,432,129,"12",tx,[1-20],
Flandre,Flandre,France,,Dunkerque,Dunkerque,1787-11-15,Londres,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0000748N",Prince de Galles,"Burt, Jean",Grande-Bretagne,Angleterre,Londres,,Diverses marchandises,Eau-de-vie,,,450,135,0,"100",tx,[51-100],britannique
Picardie,Picardie,France,,Calais,Calais,1787-08-10,Steenbergen,Hollande,Etranger,,Pays de la Généralité,Provinces-Unies,"0003454N",Beneker,"Andersen, John",Provinces-Unies,Pays de la Généralité,Steenbergen,,,,,,4 575,135,1 374,"61",tx,[51-100],hollandais
Flandre,Flandre,France,,Dunkerque,Dunkerque,1787-10-04,Flessingue,Hollande,Etranger,,Zélande,Provinces-Unies,"0000938N",Sophie Elisabeth,"Montaan, Hermanus",Provinces-Unies,Zélande,Veere,,,,,,135,450,0,"50",tx,[21-50],hollandais
Normandie,Normandie,France,,Le Havre,Le Havre,1787-08-20,Stralsund,Suède,Etranger,,Poméranie suédoise,Suède,"0012329N",Dame Sophie,"Reyer, Jacob",,,,,,,,,1 830,549,0,"170",tx,[101-200],
Picardie,Picardie,France,,Boulogne,Boulogne-sur-Mer,1787-01-04,Angleterre,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0007453N",Liberty,Colbrook,,,,,,,,,135,450,0,"20",tx,[1-20],britannique
Picardie,Picardie,France,,Boulogne,Boulogne-sur-Mer,1787-12-12,Angleterre,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0001522N",Old Shoë,Gowlder,,,,,,,,,450,135,0,"2",tx,[1-20],britannique
Guyenne,Guyenne,France,,Bordeaux,Bordeaux,1787-07-27,Hull,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0000516N",Vigne,"Brock, George",Grande-Bretagne,Angleterre,Hull,,Eau-de-vie,Vin,,,3 888,9 900,2 475,"165",tx,[101-200],britannique
Normandie,Normandie,France,,Port-Bail,Port-Bail,1787-09-16,Guernesey,Angleterre,Etranger,,Iles anglo-normandes,Grande-Bretagne,"0003358N",Genis,"De Laperrine, François",,,,,,,,,390,0,0,"2",tx,[1-20],britannique
Picardie,Picardie,France,,Calais,Calais,1787-11-22,Douvres,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0006779N",Union,"Sutton, David",Grande-Bretagne,Angleterre,Douvres,,,,,,450,135,675,"30",tx,[21-50],britannique
Normandie,Normandie,France,,Cherbourg,Diélette,1787-09-11,Jersey,Angleterre,Etranger,,Iles anglo-normandes,Grande-Bretagne,"0003400N",Espérance,"Lemasuric, Thomas",,,,,Diverses marchandises,,,,390,0,0,"2",tx,[1-20],britannique
Aunis-Saintonge-Poitou,Aunis,France,,La Rochelle,Ars-en-Ré,1787-08-06,Salem,Etats-Unis,Etranger,,Massachussets,Etats-Unis d'Amérique,"0013629N",Amitié,"D' Hermann, Benjamin",Etats-Unis d'Amérique,Massachussets,Salem,,Sel,,,,1 800,0,0,"65",tx,[51-100],étasunien
Picardie,Picardie,France,,Calais,Calais,1787-10-13,Douvres,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0001209N",Diligent,"Berthe, Dominique",France,,Calais,Picardie,,,,,450,135,0,,,,français
Normandie,Normandie,France,,Le Havre,Le Havre,1787-02-28,Ostende,Etats de l'Empereur,Etranger,,Pays-Bas autrichiens,Autriche,"0013673N",De Clara Marie Theresia,"De Jong, Jocabas",,,,,,,,,117,390,0,"76",tx,[51-100],
Flandre,Flandre,France,,Dunkerque,Dunkerque,1787-09-19,Flessingue,Hollande,Etranger,,Zélande,Provinces-Unies,"0001056N",Aigle noir,"Vanderplaat, Albert",Prusse,Frise orientale,Emden,,Café,,,,135,450,0,"70",tx,[51-100],prussien
Normandie,Normandie,France,,Rouen,Rouen,1787-11-17,Londres,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0013736N",Jacques,"Dunan, Jacques",,,,,,,,,390,117,496,"46",tx,[21-50],britannique
Bretagne,Bretagne,France,,Lorient,Lorient,1787-04-04,Cork,Angleterre,Etranger,,Irlande,Grande-Bretagne,"0009554N",Saly,"Dewny, John",Grande-Bretagne,Irlande,Cork,,Bois merrain,,,,630,0,0,"50",tx,[21-50],britannique
Picardie,Picardie,France,,Boulogne,Boulogne-sur-Mer,1787-07-17,Angleterre,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0000472N",Two Brothers,"Walker, George",,,,,,,,,135,450,0,"2",tx,[1-20],britannique
Picardie,Picardie,France,,Boulogne,Boulogne-sur-Mer,1787-07-14,Angleterre,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0003205N",Nancy,Smitchson,,,,,,,,,135,450,0,"2",tx,[1-20],britannique
Guyenne,Guyenne,France,,Bordeaux,Bordeaux,1787-03-29,Virginie,Etats-Unis,Etranger,,Virginie,Etats-Unis d'Amérique,"0006357N",Duc de Pentievre,"Gorhan, Job",Etats-Unis d'Amérique,Virginie,Richmond,,Diverses marchandises,Vin,,,2 250,6 420,1 605,"107",tx,[101-200],étasunien
Aunis-Saintonge-Poitou,Aunis,France,,La Rochelle,La Rochelle,1787-10-26,Brême,Quatre villes hanséatiques,Etranger,,,Brême,"0012056N",Reconnaissance,"Walters, Hernier",Provinces-Unies,Frise,Frise,,,,,,480,0,0,"60",tx,[51-100],hollandais
Guyenne,Guyenne,France,,Bordeaux,Bordeaux,1787-05-04,Bristol,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0013589N",Centurion,"Thomas, James",Grande-Bretagne,Angleterre,Bristol,,Eau-de-vie,Vin,,,6 300,1 575,600,"105",tx,[101-200],britannique
Picardie,Picardie,France,,Saint-Valéry-sur-Somme,Saint-Valery-sur-Somme,1787-12-07,Stockton,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0003884N",Cœur de Chare,"Potts, M.l",,,,,,,,,450,135,2 808,"78",tx,[51-100],britannique
Picardie,Picardie,France,,Boulogne,Boulogne-sur-Mer,1787-10-27,Angleterre,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0000740N",Pitt,Sharp,Grande-Bretagne,Angleterre,Douvres,,Passagers,,,,450,135,0,"30",tx,[21-50],britannique
Flandre,Flandre,France,,Dunkerque,Dunkerque,1787-08-31,Setúbal ,Portugal,Etranger,,,Portugal,"0002354N",Apparence,"Osterberg, Anders",Suède,,Gothembourg ,,,,,,135,450,0,"160",tx,[101-200],suédois
Guyenne,Guyenne,France,,Bordeaux,Bordeaux,1787-06-20,Hambourg,Quatre villes hanséatiques,Etranger,,,Hambourg,"0013022N",Gras Brock,"Meyns, Peter",Hambourg,,Hambourg,,Café,Sucre,,,5 985,3 870,15 480,"258",tx,[201-500],hambourgeois
Bretagne,Bretagne,France,,Nantes,Le Croisic,1787-03-20,Gothembourg ,Suède,Etranger,,,Suède,"0011440N",Frederick,"Willemothe, Gilles",Suède,,Gothembourg ,,Sel,,,,480,144,0,"120",tx,[101-200],suédois
Guyenne,Guyenne,France,,Bordeaux,Bordeaux,1787-09-24,Christiania / Oslo,Danemark,Etranger,,Norvège,Danemark,"0010798N",Neptune,"Schou, Johannes",Danemark,Norvège,Christiania / Oslo,,Vin,Eau-de-vie,,,6 300,3 036,2 250,"105",tx,[101-200],danois
Bretagne,Bretagne,France,,Saint-Malo,Saint-Malo,1787-07-06,Guernesey,Angleterre,Etranger,,Iles anglo-normandes,Grande-Bretagne,"0013189N",Fany,"Godefroy, François",Grande-Bretagne,Iles anglo-normandes,Jersey,,Lest,,,,72,240,0,"8",tx,[1-20],britannique
Normandie,Normandie,France,,Granville,Granville,1787-05-03,Petit Nord de Terre-Neuve,Angleterre,Etranger,,colonies britanniques d'Amérique,Grande-Bretagne,"0003746N",Emmanuel,"Salmon, Pierre Mathieu",France,,Granville,Normandie,Ustensiles de pêche,Pêche à la morue,,,1 830,0,0,"210",tx,[201-500],français
Flandre,Flandre,France,,Dunkerque,Dunkerque,1787-03-29,Newry,Angleterre,Etranger,,Irlande,Grande-Bretagne,"0000817N",Sœurs,"Keas, Richard",Grande-Bretagne,Angleterre,Bristol,,,,,,450,135,0,"150",tx,[101-200],britannique
Flandre,Flandre,France,,Dunkerque,Gravelines,1787-08-09,Londres,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0012789N",Amitié,"Gawtorp, Georges",,,,,,,,,900,450,0,"50",tx,[21-50],britannique
Picardie,Picardie,France,,Calais,Calais,1787-07-04,Douvres,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0000829N",Roy George,"Bagster, George",Grande-Bretagne,Angleterre,Douvres,,,,,,450,2 400,135,"32",tx,[21-50],britannique
Bretagne,Bretagne,France,,Brest,Roscoff,1787-09-29,Penzance,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0013537N",Pilsher,"Polglaze, William",Grande-Bretagne,Angleterre,Penzance,,Eau-de-vie,,,,480,0,0,"3",tx,[1-20],britannique
Picardie,Picardie,France,,Calais,Calais,1787-05-29,Douvres,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0000888N",Mercure,"Lamy, Antoine",France,,Calais,Picardie,,,,,450,135,0,,,,français
Bretagne,Bretagne,France,,Saint-Malo,Saint-Malo,1787-05-04,Jersey,Angleterre,Etranger,,Iles anglo-normandes,Grande-Bretagne,"0003935N",Marie,"Lefèvre, Jean",Grande-Bretagne,Iles anglo-normandes,Jersey,,Diverses marchandises,,,,240,72,0,"15",tx,[1-20],britannique
Picardie,Picardie,France,,Boulogne,Boulogne-sur-Mer,1787-11-10,Douvres,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0002566N",Anonyme,"Fournier, Jean",,,,,Passagers,,,,450,135,0,"4",tx,[1-20],français
Flandre,Flandre,France,,Dunkerque,Dunkerque,1787-02-28,Veere,Hollande,Etranger,,Zélande,Provinces-Unies,"0000580N",Deux Frères,"Maat, Ary",Provinces-Unies,Zélande,Veere,,Sucre,Futailles vides,,,450,135,0,"55",tx,[51-100],hollandais
Flandre,Flandre,France,,Dunkerque,Dunkerque,1787-02-01,Angleterre (destination simulée pour),Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0001123N",Pigeon,"Dyer, James",Grande-Bretagne,Angleterre,Maldon,,,,,,135,450,0,"12",tx,[1-20],britannique
Picardie,Picardie,France,,Boulogne,Boulogne-sur-Mer,1787-06-20,Angleterre,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0001304N",Mary,Carvin,Grande-Bretagne,Angleterre,Folkestone,,,,,,135,450,0,"2",tx,[1-20],britannique
Normandie,Normandie,France,,Rouen,Rouen,1787-08-06,Saint-Pétersbourg,Russie,Etranger,,Russie - mer Baltique,Russie,"0007653N",Aimable Juliette,"Paquet, Charles François",,,,,,,,,1 830,549,0,"160",tx,[101-200],français
Normandie,Normandie,France,,Le Havre,Le Havre,1787-05-30,Yarmouth,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0010497N",Lovely,"Bishop, Charles",,,,,,,,,117,390,0,"110",tx,[101-200],britannique
Bretagne,Bretagne,France,,Nantes,Nantes,1787-02-01,Ferrol,Portugal,Etranger,,,Portugal,"0012530N",Esperance,"Olaguibel, Simon",Espagne,,Bilbao,,,,,,540,1 800,0,"50",tx,[21-50],"Espagne, undeterminé"
Aunis-Saintonge-Poitou,Poitou,France,,Sables-d’Olonne,Noirmoutier,1787-07-13,Saint-Sébastien,Espagne,Etranger,,,Espagne,"0006470N",Notre Dame La Conception,"Euparté, Antoine",Espagne,,Saint-Sébastien,,Sel,,,,360,0,0,"60",tx,[51-100],"Espagne, undeterminé"
Guyenne,Guyenne,France,,Bordeaux,Bordeaux,1787-06-05,Brême,Quatre villes hanséatiques,Etranger,,,Brême,"0008794N",Rose,"Steengrave, Arend",Brême,,Brême,,Café,Diverses marchandises,Vin,,3 840,15 360,6 435,"256",tx,[201-500],brémois
Picardie,Picardie,France,,Boulogne,Boulogne-sur-Mer,1787-02-19,Angleterre,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0001633N",Experiment,Russel,,,,,,,,,450,135,0,"2",tx,[1-20],britannique
Picardie,Picardie,France,,Boulogne,Boulogne-sur-Mer,1787-10-01,Douvres,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0000604N",Neptune,"Cornu, Robert",,,,,Passagers,,,,135,450,0,"30",tx,[21-50],français
