"region_depart","amiraute_depart","port_depart","outdate_fixed","port_destination","partner_balance_1789","partner_balance_supp_1789","ship_id","ship_name","captain_name","homeport_state_1789_fr","homeport_substate_1789_fr","homeport_toponyme_fr","homeport_province","commodity_standardized_fr","commodity_standardized2_fr","commodity_standardized3_fr","commodity_standardized4_fr","taxe_amount01","taxe_amount02","taxe_amount03","tonnage","tonnage_unit","tonnage_class"
Picardie,Calais,Calais,1787-08-03,Douvres,Angleterre,Etranger,"0000740N",Pitt,"Sharp, William",Grande-Bretagne,Angleterre,Douvres,,,,,,450,675,2 250,"30",tx,[21-50]
Picardie,Calais,Calais,1787-09-01,Douvres,Angleterre,Etranger,"0004084N",Princesse,"Ratcliff, John",Grande-Bretagne,Angleterre,Douvres,,,,,,450,135,2 550,"34",tx,[21-50]
Bretagne,Nantes,Le Croisic,1787-04-07,Bergue ,Danemark,Etranger,"0006539N",Varat Martina,"Erickson, Thore",Danemark,Norvège,Bergue ,,Sel,,,,480,144,0,"130",tx,[101-200]
Flandre,Dunkerque,Dunkerque,1787-02-15,Angleterre (destination simulée pour),Angleterre,Etranger,"0001313N",Liberté,"Sneller, Abraham",Grande-Bretagne,Angleterre,Deal,,,,,,135,450,0,"12",tx,[1-20]
Normandie,Honfleur,Honfleur,1787-03-29,Grands Bancs de Terre-Neuve,,Etranger,"0002250N",Marie Thomas,"Doisnel, Pierre Gille",,,,,Pêche à la morue,,,,1 830,549,120,"120",tx,[101-200]
Bretagne,Brest,Roscoff,1787-06-04,îles Scilly,Angleterre,Etranger,"0013383N",Voisinage,"Hix, William",Grande-Bretagne,Angleterre,îles Scilly,,Eau-de-vie,,,,480,144,0,"4",tx,[1-20]
Bretagne,Brest,Roscoff,1787-09-29,Penzance,Angleterre,Etranger,"0013537N",Pilsher,"Polglaze, William",Grande-Bretagne,Angleterre,Penzance,,Eau-de-vie,,,,480,0,0,"3",tx,[1-20]
Picardie,Boulogne,Boulogne-sur-Mer,1787-07-11,Norvège,Danemark,Etranger,"0002397N",Trois Soeurs,"Rye, Lars Ennius",,,,,Lest,,,,135,450,0,"130",tx,[101-200]
Picardie,Boulogne,Boulogne-sur-Mer,1787-06-11,Angleterre,Angleterre,Etranger,"0001628N",Lively,"Garant, Joseph",,,,,,,,,135,450,0,"2",tx,[1-20]
Picardie,Calais,Calais,1787-07-29,Douvres,Angleterre,Etranger,"0001068N",Henrietta,"Sayer, Thomas",Grande-Bretagne,Angleterre,Douvres,,,,,,540,135,1 800,"24",tx,[21-50]
Bretagne,Saint-Malo,Saint-Malo,1787-07-10,Guernesey,Angleterre,Etranger,"0007568N",Etoile du Matin,"Le Maître, Jean",Grande-Bretagne,Iles anglo-normandes,Guernesey,,Sucre,Diverses marchandises,Diverses marchandises,Diverses marchandises,72,240,0,"15",tx,[1-20]
Picardie,Boulogne,Boulogne-sur-Mer,1787-05-05,Angleterre,Angleterre,Etranger,"0000001N",Endeavour,Pooll,,,,,,,,,135,450,0,"2",tx,[1-20]
Guyenne,Bordeaux,Bordeaux,1787-10-04,Horsens ,Danemark,Etranger,"0013998N",Soe de Ridderen,"Janssen, Christen",Danemark,,Horsens ,,Diverses marchandises,Eau-de-vie,Eau-de-vie,Eau-de-vie,2 250,3 000,750,"50",tx,[21-50]
Guyenne,Bayonne,Bayonne,1787-12-24,Lisbonne,Portugal,Etranger,"0008570N",Jeannette,"Lauzuc, François",France,,Bayonne,Guyenne,Brai,,,,576,1 920,0,"105",tx,[101-200]
Isles de Corse,Bastia,Bastia,1787-03-22,Mer Mediterranée,,Etranger,"0010893N",Vierge des Graces,"Giorgi, Simon Pierre",,,,,,,,,2 400,0,0,,,
Picardie,Calais,Calais,1787-05-15,Trondheim,Danemark,Etranger,"0003777N",Enigheid,"Luivig, Jansen",Danemark,Norvège,Trondheim,,,,,,12 000,135,3 600,"160",tx,[101-200]
Flandre,Dunkerque,Dunkerque,1787-09-18,Angleterre (destination simulée pour),Angleterre,Etranger,"0000010N",Wasp,"Dyer, James",Grande-Bretagne,Angleterre,Maldon,,,,,,135,450,0,"12",tx,[1-20]
Picardie,Boulogne,Boulogne-sur-Mer,1787-05-06,Angleterre,Angleterre,Etranger,"0000360N",Ketty,Baiseley,,,,,,,,,450,135,0,"2",tx,[1-20]
Aunis-Saintonge-Poitou,Sables-d’Olonne,Noirmoutier,1789-06-10,Mer Baltique,,Etranger,,Wilkelenna,"Gelte, Hendrick",Hambourg,,Hambourg,,Sel,,,,480,0,0,"180",tx,[101-200]
Normandie,Cherbourg,Cherbourg,1787-09-15,Cowes,Angleterre,Etranger,"0000534N",Amour de l' Union,"Cord, Emee",,,,,Lest,,,,390,117,0,"15",tx,[1-20]
Picardie,Boulogne,Boulogne-sur-Mer,1787-07-17,Angleterre,Angleterre,Etranger,"0000460N",Princess Royale,Keyss,Grande-Bretagne,Angleterre,Douvres,,,,,,450,135,0,"30",tx,[21-50]
Isles de Corse,Bastia,Bastia,1787-03-30,Naples,,Etranger,"0013594N",Unnamed,"Chiaes, Sabato",,,,,,,,,180,120,0,,tx,
Flandre,Dunkerque,Dunkerque,1787-08-20,Angleterre (destination simulée pour),Angleterre,Etranger,"0001614N",Rose,"Robinson, William",Grande-Bretagne,Angleterre,Maldon,,,,,,450,135,0,"12",tx,[1-20]
Picardie,Boulogne,Boulogne-sur-Mer,1787-07-09,Angleterre,Angleterre,Etranger,"0000942N",Peggy,Flysher,,,,,,,,,135,450,0,"2",tx,[1-20]
Guyenne,Bayonne,Bayonne,1787-04-18,Ferrol,Portugal,Etranger,"0007813N",Saint Jean Baptiste,"Salvidea, Jean Baptiste",Espagne,,Plencia,,Planches,,,,1 920,576,0,"46",tx,[21-50]
Bretagne,Nantes,Nantes,1787-05-02,Bilbao,Espagne,Etranger,"0012530N",Esperance,"Déolagibel, Simon",Espagne,,Bilbao,,,,,,540,1 800,0,"50",tx,[21-50]
Bretagne,Saint-Malo,Saint-Malo,1787-09-22,Jersey,Angleterre,Etranger,"0013060N",Marie Joseph,"Malo, François",France,,Saint-Malo,Bretagne,Passagers,,,,240,72,0,"3",tx,[1-20]
Flandre,Dunkerque,Dunkerque,1787-08-04,Londres,Angleterre,Etranger,"0000748N",Prince de Galles,"Burt, John",Grande-Bretagne,Angleterre,Londres,,Coton,Diverses marchandises,Diverses marchandises,Diverses marchandises,135,450,0,"100",tx,[51-100]
Picardie,Calais,Calais,1787-07-02,Douvres,Angleterre,Etranger,"0001209N",Diligent,"Berthe, Dominique",France,,Calais,Picardie,,,,,450,135,0,,,
Picardie,Boulogne,Boulogne-sur-Mer,1787-04-01,Angleterre,Angleterre,Etranger,"0000107N",Succes,Cheeck,,,,,,,,,135,450,0,"12",tx,[1-20]
Flandre,Dunkerque,Dunkerque,1787-07-31,Angleterre (destination simulée pour),Angleterre,Etranger,"0000351N",Charmante Molly,"Jeffery, Thomas",Grande-Bretagne,Angleterre,Folkestone,,,,,,450,135,0,"12",tx,[1-20]
Normandie,Granville,Granville,1787-10-04,Jersey,Angleterre,Etranger,"0000387N",Fortune,"Morand, Philippe",Grande-Bretagne,Iles anglo-normandes,Jersey,,Passagers,,,,390,0,0,"6",tx,[1-20]
Bretagne,Saint-Malo,Saint-Malo,1787-03-24,"Terre-Neuve, île de",Angleterre,Etranger,"0008459N",Maréchal de Castries,"Le Gallais, François",France,,Saint-Malo,Bretagne,Pêche à la morue,Sel,Sel,Sel,1 800,540,0,"250",tx,[201-500]
Flandre,Dunkerque,Dunkerque,1787-06-08,Angleterre (destination simulée pour),Angleterre,Etranger,"0001145N",Rossignol,"Richmont, William",Grande-Bretagne,Angleterre,Burnham,,,,,,135,450,0,"12",tx,[1-20]
Bretagne,Saint-Malo,Saint-Malo,1787-11-22,Guernesey,Angleterre,Etranger,"0006867N",Providence,"Goguet, Pierre",Grande-Bretagne,Iles anglo-normandes,Guernesey,,Diverses marchandises,Savon,Savon,Savon,240,72,0,"18",tx,[1-20]
Flandre,Dunkerque,Dunkerque,1787-11-27,Emden,Prusse,Etranger,"0002950N",Dame Hermina,"Luilies, Jobs",Prusse,Frise orientale,Emden,,Lest,,,,450,135,0,"90",tx,[51-100]
Picardie,Boulogne,Boulogne-sur-Mer,1787-06-06,Angleterre,Angleterre,Etranger,"0001079N",Grandby,"Alley, [John]",Grande-Bretagne,Angleterre,Deal,,,,,,135,450,0,"2",tx,[1-20]
Bretagne,Saint-Malo,Saint-Malo,1787-08-25,Jersey,Angleterre,Etranger,"0006712N",Jeannette,"Kerveur, Louis",France,,Saint-Malo,Bretagne,Lest,,,,240,72,0,"9",tx,[1-20]
Flandre,Dunkerque,Dunkerque,1787-01-18,Angleterre (destination simulée pour),Angleterre,Etranger,"0001120N",Cleverly,"Stone, Thomas",Grande-Bretagne,Angleterre,Burnham,,,,,,135,450,0,"12",tx,[1-20]
Bretagne,Nantes,Nantes,1787-10-17,Liverpool,Angleterre,Etranger,"0006364N",Amitié,"Withe, Guillaume",Grande-Bretagne,Angleterre,Whitby,,,,,,144,480,0,"175",tx,[101-200]
Isles de Corse,Ajaccio,Ajaccio,1787-10-21,Italie,,Etranger,"0007679N",Saint Joseph,"Peri, Florio",,,,,,,,,1 200,0,0,,,
Flandre,Dunkerque,Dunkerque,1787-09-07,Mandal,Danemark,Etranger,"0001096N",Providence,"Torkelson, Lars",Danemark,Norvège,Mandal,,,,,,675,2 250,0,"130",tx,[101-200]
Picardie,Boulogne,Boulogne-sur-Mer,1787-04-01,Angleterre,Angleterre,Etranger,"0001304N",Mary,"Peleet, David",Grande-Bretagne,Angleterre,Folkestone,,,,,,450,135,0,"2",tx,[1-20]
Guyenne,Bordeaux,Bordeaux,1787-11-06,Liverpool,Angleterre,Etranger,"0003236N",Margueritte,"Flanagam, James",Grande-Bretagne,Irlande,Dublin,,Diverses marchandises,Coton,Coton,Coton,600,3 984,10 140,"169",tx,[101-200]
Normandie,Cherbourg,Diélette,1787-08-12,Guernesey,Angleterre,Etranger,"0001451N",Lizabets,"Brouard, Nicolas",Grande-Bretagne,Iles anglo-normandes,Jersey,,Diverses marchandises,,,,390,0,0,"2",tx,[1-20]
Provence,Saint-Tropez,Saint-Tropez,1787-12-01,Levant,,Etranger,"0014556N",Parfaite Union,"Martin, Jean Joseph",France,,Saint-Tropez,Provence,Lest,,,,0,0,0,"150",tx,[101-200]
Flandre,Dunkerque,Dunkerque,1787-08-14,Angleterre (destination simulée pour),Angleterre,Etranger,"0001516N",Lively,"Getting, Thomas",Grande-Bretagne,Angleterre,Folkestone,,,,,,450,135,0,"12",tx,[1-20]
Normandie,Fécamp,Fécamp,1787-02-16,Angleterre,Angleterre,Etranger,"0001322N",Valentin,"Whub, Samuel",,,,,,,,,390,117,432,"12",tx,[1-20]
Bretagne,Nantes,Nantes,1787-03-03,Dordrecht ,Hollande,Etranger,"0009289N",Catherine Rozalie,"Wighes, Herman",Provinces-Unies,Groningue,Groningue,,,,,,480,144,0,"181",tx,[101-200]
Normandie,Le Havre,Le Havre,1787-02-09,Waterford,Angleterre,Etranger,"0014029N",Marie,"Kehode, Laurence",,,,,,,,,390,117,0,"20",tx,[1-20]
Guyenne,Bordeaux,Bordeaux,1787-07-09,Stettin,Prusse,Etranger,"0003722N",Johanna Wilhelmina Christine,"Furstenau, Michel",Prusse,,Stettin,,Café,Vin,Vin,Vin,13 200,2 250,3 300,"220",tx,[201-500]
Picardie,Calais,Calais,1787-04-05,Douvres,Angleterre,Etranger,"0000888N",Mercure,"Lamy, Antoine",France,,Calais,Picardie,,,,,450,135,0,,,
Aunis-Saintonge-Poitou,La Rochelle,Ars-en-Ré,1789-05-20,Amsterdam,Hollande,Etranger,"0004436N",Chevalier de la mer,"Karst, Jean Jacob",,,,,Sel,,,,480,0,0,"80",tx,[51-100]
Guyenne,Bordeaux,Bordeaux,1787-11-29,La Corogne,Espagne,Etranger,"0008822N",Sainte Marguerite,"Fouet, Charles",France,,Lorient,Bretagne,Farine,Diverses marchandises,Diverses marchandises,Diverses marchandises,4 200,1 800,1 800,"70",tx,[51-100]
Bretagne,Nantes,Nantes,1787-01-31,Anvers,Etats de l'Empereur,Etranger,"0009234N",Barbara Anna,"de Boer, Doneve Fayles",Autriche,Pays-Bas autrichiens,Anvers,,,,,,480,144,0,"110",tx,[101-200]
Normandie,Le Havre,Le Havre,1787-06-22,Norrköping,Suède,Etranger,"0006656N",Hedwick Sophia,"Husberg, Herick",,,,,,,,,549,1 830,0,"92",tx,[51-100]
Picardie,Calais,Calais,1787-06-10,Rochester,Angleterre,Etranger,"0002127N",Mer Maid,"Bell, John",Grande-Bretagne,Angleterre,Rochester,,,,,,450,135,900,"12",tx,[1-20]
Flandre,Dunkerque,Dunkerque,1787-11-20,Angleterre (destination simulée pour),Angleterre,Etranger,"0001066N",Prospereux,"Moirs, William",Grande-Bretagne,Angleterre,Maldon,,Diverses marchandises,,,,450,135,0,"12",tx,[1-20]
Flandre,Dunkerque,Dunkerque,1787-07-26,Angleterre (destination simulée pour),Angleterre,Etranger,"0000061N",Hirondelle,"Middleton, James",Grande-Bretagne,Angleterre,Douvres,,,,,,135,450,0,"12",tx,[1-20]
Picardie,Calais,Calais,1787-02-01,Douvres,Angleterre,Etranger,"0003759N",Rinmer,"Taylor, John",Grande-Bretagne,Angleterre,Douvres,,,,,,450,135,150,"2",tx,[1-20]
Guyenne,Bordeaux,Bordeaux,1787-03-03,Stettin,Prusse,Etranger,"0012889N",Heureux Retour,"Neeske, Carl Paul",Prusse,,Stettin,,Vin,,,,5 175,2 250,3 000,"200",tx,[101-200]
Flandre,Dunkerque,Dunkerque,1787-01-09,Dordrecht ,Hollande,Etranger,"0000513N",Jeune Martin [Jeune Sébastien],"Vanderbende, Thomas",Provinces-Unies,Gueldre,Dort,,Sucre,,,,450,135,0,"92",tx,[51-100]
Picardie,Boulogne,Boulogne-sur-Mer,1787-01-15,Angleterre,Angleterre,Etranger,"0002324N",Traveller,Warman,Grande-Bretagne,Angleterre,Folkestone,,,,,,450,135,0,"2",tx,[1-20]
Guyenne,Bayonne,Bayonne,1787-03-06,Bruges,Etats de l'Empereur,Etranger,"0007437N",Phoenix,"Loft, Samuel",Grande-Bretagne,Angleterre,Hull,,Vin,Eau-de-vie,Eau-de-vie,Eau-de-vie,600,180,6 840,"190",tx,[101-200]
Guyenne,Bordeaux,Bordeaux,1787-06-20,Amsterdam,Hollande,Etranger,"0012544N",Abraham Johannes,"Kuyper, Jacob Janz",Provinces-Unies,Hollande,Amsterdam,,Sucre,Vin,Vin,Vin,600,12 000,4 680,"200",tx,[101-200]
Guyenne,Bordeaux,Bordeaux,1787-06-13,Bilbao,Espagne,Etranger,"0010649N",Notre Dame de Begogne,"Degain, Jean Baptiste",Espagne,,Bilbao,,Vin,,,,1 800,2 400,1 260,"40",tx,[21-50]
Normandie,Rouen,Rouen,1787-07-24,Amsterdam,Hollande,Etranger,"0012271N",Dame Jeanne Marie,"Meyboon, Coord Claasen",,,,,,,,,799,2 664,390,"74",tx,[51-100]
Picardie,Calais,Calais,1787-07-03,Douvres,Angleterre,Etranger,"0000344N",Cumberland,"Oakley, William",Grande-Bretagne,Angleterre,Douvres,,,,,,450,135,2 250,"30",tx,[21-50]
Guyenne,Bordeaux,Bordeaux,1787-02-01,Brême,Quatre villes hanséatiques,Etranger,"0007827N",Comette,"Frereks, Johan Hinrich",Brême,,Brême,,Vin,Café,Café,Café,6 000,2 925,2 250,"100",tx,[51-100]
Bretagne,Nantes,Le Croisic,1787-10-12,Libau,,Etranger,"0012273N",Inattendu,"Magenborg, Joachim",Prusse,,Memel,,Sel,,,,144,480,0,"300",tx,[201-500]
Flandre,Dunkerque,Dunkerque,1787-01-24,Angleterre (destination simulée pour),Angleterre,Etranger,"0000715N",Betzy,"Brooks, Thomas",,,,,,,,,450,135,0,"12",tx,[1-20]
Flandre,Dunkerque,Dunkerque,1787-06-18,Angleterre (destination simulée pour),Angleterre,Etranger,"0001314N",Sincérité,"Hubbart, Abraham",Grande-Bretagne,Angleterre,Douvres,,,,,,135,450,0,"12",tx,[1-20]
Flandre,Dunkerque,Dunkerque,1787-09-24,Angleterre (destination simulée pour),Angleterre,Etranger,"0003792N",Peggy,"Feast, Jean",Grande-Bretagne,Angleterre,Folkestone,,,,,,135,450,0,"12",tx,[1-20]
Picardie,Boulogne,Boulogne-sur-Mer,1787-10-01,Angleterre,Angleterre,Etranger,"0003480N",Charming Sailer,"Wallas, John",,,,,,,,,135,450,0,"2",tx,[1-20]
Guyenne,Bordeaux,Bordeaux,1787-12-06,Îles Féroé,Danemark,Etranger,"0001368N",Peggy,"Oram, Richard",Grande-Bretagne,Irlande,Dublin,,Eau-de-vie,,,,1 320,2 250,1 170,"22",tx,[21-50]
Picardie,Boulogne,Boulogne-sur-Mer,1787-10-03,Angleterre,Angleterre,Etranger,"0001566N",Plough,Richardson,,,,,,,,,450,135,0,"2",tx,[1-20]
Picardie,Boulogne,Boulogne-sur-Mer,1787-02-27,Angleterre,Angleterre,Etranger,"0001338N",Two Sister,"Cook, Peter",,,,,,,,,135,450,0,"2",tx,[1-20]
Guyenne,Bayonne,Bayonne,1787-06-21,Mundaka,Espagne,Etranger,"0003864N",Saint Joseph,"Abendagno, Joseph",,,,,Vin,,,,576,1 920,0,"12",tx,[1-20]
Bretagne,Lorient,Lorient,1787-05-24,New York,Etats-Unis,Etranger,"0007435N",Oiseau,"Mano, Jean Marie",France,,Lorient,Bretagne,Bière,Vin,Vin,Vin,2 484,0,0,"130",tx,[101-200]
Flandre,Dunkerque,Dunkerque,1787-02-23,Angleterre (destination simulée pour),Angleterre,Etranger,"0001067N",William et Mary,"Bratt, Henri",Grande-Bretagne,Angleterre,Faversham,,,,,,450,135,0,"12",tx,[1-20]
Canada,Saint-Pierre-et-Miquelon,Saint-Pierre-et-Miquelon,1787-09-09,"Portsmouth, N.H.",Etats-Unis,Etranger,"0002747N",Sally,Branscomb,,,,,,,,,1 800,0,0,"60",tx,[51-100]
Guyenne,Bordeaux,Bordeaux,1787-06-12,Brême,Quatre villes hanséatiques,Etranger,"0009508N",Soleil Levant,"Wachter, Berend",Brême,,Brême,,Vin,Café,Café,Café,2 250,5 625,3 300,"220",tx,[201-500]
Picardie,Boulogne,Boulogne-sur-Mer,1787-08-01,Angleterre,Angleterre,Etranger,"0000779N",Ranger,"Parson, Charles",,,,,,,,,450,135,0,"2",tx,[1-20]
Flandre,Dunkerque,Dunkerque,1787-09-07,Holmestrand,Danemark,Etranger,"0001915N",Emmanuel,"Pens, Otte Christian",Danemark,Norvège,Holmestrand,,,,,,675,2 250,0,"94",tx,[51-100]
Normandie,Granville,Granville,1787-04-13,Petit Nord de Terre-Neuve,Angleterre,Etranger,"0016017N",Espérance,"Devet, Charles Hervé",France,,Granville,Normandie,Ustensiles de pêche,Pêche à la morue,Pêche à la morue,Pêche à la morue,1 830,0,0,"185",tx,[101-200]
Picardie,Calais,Calais,1787-09-27,Douvres,Angleterre,Etranger,"0006779N",Union,"Sutton, David",Grande-Bretagne,Angleterre,Douvres,,,,,,450,135,675,"30",tx,[21-50]
Normandie,Rouen,Rouen,1787-08-25,Lisbonne,Portugal,Etranger,"0011531N",Tage,"Hennequier, Adrien",France,,Nantes,Bretagne,,,,,117,390,0,"160",tx,[101-200]
Flandre,Dunkerque,Dunkerque,1787-04-03,Noordwijk ,Hollande,Etranger,"0000424N",Deux Soeurs,"Capulain, Simon",Provinces-Unies,Hollande,Noordwijk ,,,,,,450,135,0,"12",tx,[1-20]
Flandre,Dunkerque,Dunkerque,1787-10-16,Angleterre (destination simulée pour),Angleterre,Etranger,"0000612N",Liberté,"Wood, William",Grande-Bretagne,Angleterre,Rye,,,,,,135,450,0,"12",tx,[1-20]
Guyenne,Bordeaux,Bordeaux,1787-01-23,Dublin,Angleterre,Etranger,"0009980N",Trois Soeurs,"Bean, Thomas",Grande-Bretagne,Irlande,Cork,,Diverses marchandises,Vinaigre,Vinaigre,Vinaigre,720,1 260,600,"48",tx,[21-50]
Flandre,Dunkerque,Dunkerque,1787-04-03,Vlaardingen,Hollande,Etranger,"0002991N",Jeune Cornil,"Maesdick, Dirk",Provinces-Unies,Hollande,Vlaardingen,,,,,,450,135,0,"12",tx,[1-20]
Picardie,Boulogne,Boulogne-sur-Mer,1787-07-05,Angleterre,Angleterre,Etranger,"0001566N",Plough,Richardson,,,,,,,,,135,450,0,"2",tx,[1-20]
Bretagne,Nantes,Nantes,1787-03-15,Hambourg,Quatre villes hanséatiques,Etranger,"0006209N",Cinq Freres,"Omnun, Ariaan",,,pas identifié,,,,,,480,144,0,"113",tx,[101-200]
Picardie,Calais,Calais,1787-10-14,Douvres,Angleterre,Etranger,"0000750N",Prince de Walles,"Karvin, Henry",Grande-Bretagne,Angleterre,Douvres,,,,,,450,135,2 400,"32",tx,[21-50]
Flandre,Dunkerque,Dunkerque,1787-06-11,Leyde,Hollande,Etranger,"0003303N",Berger,"Vanyserloo, Landers",Provinces-Unies,Hollande,Leyde,,,,,,135,450,0,"80",tx,[51-100]
Picardie,Boulogne,Boulogne-sur-Mer,1787-09-30,Angleterre,Angleterre,Etranger,"0000725N",Busy,"Wooten, Hanery",Grande-Bretagne,Angleterre,Whistable,,,,,,450,135,0,"2",tx,[1-20]
Guyenne,Bordeaux,Bordeaux,1787-09-03,Stettin,Prusse,Etranger,"0012813N",Union,"Breomm, Johan Daniel",Prusse,,Stettin,,Vin,Sucre,Sucre,Sucre,3 465,13 860,2 250,"231",tx,[201-500]
Flandre,Dunkerque,Dunkerque,1787-10-11,Altona,Danemark,Etranger,"0004079N",Dame Marie,"Möller, Lorentz Hansen",Danemark,,Altona,,,,,,135,450,0,"50",tx,[21-50]
Normandie,Cherbourg,Diélette,1787-02-03,Guernesey,Angleterre,Etranger,"0000336N",Entreprise,"Delarue, Nicolas",,,,,Diverses marchandises,,,,117,390,0,"2",tx,[1-20]
Normandie,Honfleur,Honfleur,1787-08-10,Côte d'Afrique [de l'Ouest],,Sénégal et Guinée,"0003689N",Sœurs Unies,"Barabé, Pierre",,,,,,,,,1 830,549,120,"330",tx,[201-500]
Roussillon,Collioure,Collioure,1787-07-19,Gênes,,Etranger,"0013394N",Notre Dame de la Merci,"Beringé, Jean Baptiste",,,,,Vin,,,,144,480,0,"30",tx,[21-50]
Guyenne,Bayonne,Bayonne,1787-07-19,Bilbao,Espagne,Etranger,"0008521N",Saint Antoine et Ames,"Ibinaga, François",,,,,Eau-de-vie,Brai,Brai,Brai,1 920,576,0,"20",tx,[1-20]
Bretagne,Saint-Malo,Saint-Malo,1787-04-05,"Terre-Neuve, île de",Angleterre,Etranger,"0008696N",Grand Saint Pierre,"Des Guetz, Pierre",France,,Saint-Malo,Bretagne,Sel,Pêche à la morue,Pêche à la morue,Pêche à la morue,540,1 800,0,"300",tx,[201-500]
Provence,Saint-Tropez,Saint-Tropez,1787-04-14,Tripoli de Syrie,,Etranger,"0014522N",Fortuné,"Heries, Pierre Désiré",France,,Saint-Tropez,Provence,Lest,,,,0,0,0,"80",tx,[51-100]
Flandre,Dunkerque,Dunkerque,1787-11-22,Angleterre (destination simulée pour),Angleterre,Etranger,"0000845N",Neptune,"French, Robert",Grande-Bretagne,Angleterre,Maldon,,Diverses marchandises,,,,450,135,0,"12",tx,[1-20]
Picardie,Calais,Calais,1787-10-14,Douvres,Angleterre,Etranger,"0006779N",Union,"Sutton, David",Grande-Bretagne,Angleterre,Douvres,,,,,,450,2 250,675,"30",tx,[21-50]
Flandre,Dunkerque,Dunkerque,1787-11-26,Hambourg,Quatre villes hanséatiques,Etranger,"0002316N",Diane,"Denecker, Paul Herman",Hambourg,,Hambourg,,Diverses marchandises,,,,450,135,0,"150",tx,[101-200]
Flandre,Dunkerque,Dunkerque,1787-12-11,Douvres,Angleterre,Etranger,"0000704N",Amitié,"Waller, Thomas",Grande-Bretagne,Angleterre,Douvres,,,,,,450,135,0,"12",tx,[1-20]
Picardie,Calais,Calais,1787-02-06,Douvres,Angleterre,Etranger,"0001251N",Bonne Intention,"Carish, John",Grande-Bretagne,Angleterre,Douvres,,,,,,450,135,150,"2",tx,[1-20]
Picardie,Calais,Calais,1787-04-05,Douvres,Angleterre,Etranger,"0001209N",Diligent,"Berthe, Dominique",France,,Calais,Picardie,,,,,135,450,0,,,
Languedoc,Sète,Sète,1787-03-08,Nice,,Etranger,"0009520N",Comtesse de Cayla,"Flour, Barthelemy",,,,,Passagers,Diverses marchandises,Diverses marchandises,Diverses marchandises,0,0,0,"58",tx,[51-100]
Flandre,Dunkerque,Dunkerque,1787-08-16,Ostende,Etats de l'Empereur,Etranger,"0001270N",Paquebot,"Janssen, Jacques",Autriche,Pays-Bas autrichiens,Ostende,,Sucre,,,,135,450,0,"50",tx,[21-50]
Guyenne,Bordeaux,Bordeaux,1787-04-23,Hambourg,Quatre villes hanséatiques,Etranger,"0006890N",Deux Catherines,"Bot, Melchert Syammen",Hambourg,,Hambourg,,Vin,Sucre,Sucre,Sucre,7 965,5 190,20 760,"346",tx,[201-500]
